Pin 2.13 kit 61147
 Instrumenting PE file: C:\Users\pmat\Desktop\workfolder\exe\helloworld_simple_packed.exe
 Loaded PE file at [0x01280000..0x012abfff](0x0002c000)
 Its Entry Point is 0x012aa830

 EXEMEMORY   :: insert memory chunk [0x01280000..0x012abfff](0x0002c000) 
 DLLMGMT     :: load at [0x75390000..0x753d9fff] C:\Windows\system32\KERNELBASE.dll
 DLLMGMT     :: load at [0x76ee0000..0x76fb3fff] C:\Windows\system32\kernel32.dll
 DLLMGMT     :: load at [0x771c0000..0x772fbfff] C:\Windows\SYSTEM32\ntdll.dll
 [T:0|L:1] THREADMGMT  :: new thread with id 0 started; new #threads is 1
 [T:0|L:1] DLLMGMT     :: load at [0x6c490000..0x6c546fff] C:\Windows\system32\MSVCP100D.dll
 [T:0|L:1] DLLMGMT     :: load at [0x6c310000..0x6c481fff] C:\Windows\system32\MSVCR100D.dll
 [T:0|L:1] LIBCALL     :: @0x012aa91f call dword ptr [esi+0x2a208]=[0x012ab208]=0x76f32864 kernel32.dll::LoadLibraryA
 [T:0|L:1] LIBCALL     :: @0x012aa934 call dword ptr [esi+0x2a20c]=[0x012ab20c]=0x76f31837 kernel32.dll::GetProcAddress
 [T:0|L:1] LIBCALL     :: @0x012aa934 call dword ptr [esi+0x2a20c]=[0x012ab20c]=0x76f31837 kernel32.dll::GetProcAddress
 [T:0|L:1] LIBCALL     :: @0x012aa934 call dword ptr [esi+0x2a20c]=[0x012ab20c]=0x76f31837 kernel32.dll::GetProcAddress
 [T:0|L:1] LIBCALL     :: @0x012aa934 call dword ptr [esi+0x2a20c]=[0x012ab20c]=0x76f31837 kernel32.dll::GetProcAddress
 [T:0|L:1] LIBCALL     :: @0x012aa934 call dword ptr [esi+0x2a20c]=[0x012ab20c]=0x76f31837 kernel32.dll::GetProcAddress
 [T:0|L:1] LIBCALL     :: @0x012aa934 call dword ptr [esi+0x2a20c]=[0x012ab20c]=0x76f31837 kernel32.dll::GetProcAddress
 [T:0|L:1] LIBCALL     :: @0x012aa934 call dword ptr [esi+0x2a20c]=[0x012ab20c]=0x76f31837 kernel32.dll::GetProcAddress
 [T:0|L:1] LIBCALL     :: @0x012aa934 call dword ptr [esi+0x2a20c]=[0x012ab20c]=0x76f31837 kernel32.dll::GetProcAddress
 [T:0|L:1] LIBCALL     :: @0x012aa934 call dword ptr [esi+0x2a20c]=[0x012ab20c]=0x76f31837 kernel32.dll::GetProcAddress
